customer_id,recency,frequency,monetary,cluster,segment
C00001,64,3,406.31,3,At Risk
C00002,60,4,605.65,3,At Risk
C00003,35,5,953.9599999999999,3,At Risk
C00004,18,9,2724.5,0,Potential Loyalists
C00005,28,11,4307.53,0,Potential Loyalists
C00006,80,2,353.90999999999997,3,At Risk
C00007,51,15,4252.71,2,Loyal Customers
C00008,9,6,2166.09,0,Potential Loyalists
C00012,186,9,1415.21,0,Potential Loyalists
C00013,638,1,70.26,1,Low Value
C00014,347,2,462.83,1,Low Value
C00015,205,1,278.48,3,At Risk
C00016,29,17,5512.33,2,Loyal Customers
C00017,43,1,48.96,3,At Risk
C00018,8,12,3052.11,0,Potential Loyalists
C00019,71,18,6591.03,2,Loyal Customers
C00021,91,5,2008.3500000000001,3,At Risk
C00023,85,14,4786.71,2,Loyal Customers
C00024,2,5,4717.4400000000005,0,Potential Loyalists
C00027,25,4,2515.2799999999997,0,Potential Loyalists
C00028,32,9,3037.7299999999996,0,Potential Loyalists
C00029,43,7,3876.86,0,Potential Loyalists
C00030,24,15,3306.9,2,Loyal Customers
C00031,414,2,352.08000000000004,1,Low Value
C00032,415,1,598.67,1,Low Value
C00033,25,19,7537.38,2,Loyal Customers
C00035,2,16,7378.68,2,Loyal Customers
C00036,613,1,78.07,1,Low Value
C00038,21,7,3256.85,0,Potential Loyalists
C00039,14,15,6109.13,2,Loyal Customers
C00040,76,23,5226.599999999999,2,Loyal Customers
C00042,162,2,3592.8,3,At Risk
C00043,46,3,861.4499999999999,3,At Risk
C00044,275,6,800.36,3,At Risk
C00045,153,5,628.13,3,At Risk
C00047,29,17,7237.19,2,Loyal Customers
C00048,224,6,667.71,3,At Risk
C00049,11,14,8061.76,2,Loyal Customers
C00050,212,4,1760.1499999999999,3,At Risk
C00051,58,2,830.88,3,At Risk
C00052,15,19,6494.5,2,Loyal Customers
C00053,112,5,1267.34,3,At Risk
C00054,123,6,1300.42,3,At Risk
C00055,29,18,3809.8,2,Loyal Customers
C00056,27,9,4274.86,0,Potential Loyalists
C00057,22,6,4510.76,0,Potential Loyalists
C00059,452,1,217.24,1,Low Value
C00062,217,2,105.59,3,At Risk
C00063,642,2,852.0699999999999,1,Low Value
C00064,4,4,878.75,3,At Risk
C00065,591,2,128.58,1,Low Value
C00068,6,5,1982.0,0,Potential Loyalists
C00069,100,6,2615.7,0,Potential Loyalists
C00070,243,6,1452.29,3,At Risk
C00071,72,8,2828.87,0,Potential Loyalists
C00072,49,9,2131.44,0,Potential Loyalists
C00073,206,2,523.6800000000001,3,At Risk
C00074,471,2,258.96,1,Low Value
C00075,119,10,4856.29,0,Potential Loyalists
C00076,73,10,4553.48,0,Potential Loyalists
C00077,411,1,130.45,1,Low Value
C00078,10,4,1817.3,3,At Risk
C00080,287,1,103.14,3,At Risk
C00081,23,18,2655.08,2,Loyal Customers
C00082,63,6,3231.1400000000003,0,Potential Loyalists
C00083,21,15,3047.38,2,Loyal Customers
C00084,116,3,1058.6,3,At Risk
C00085,111,34,18410.39,4,VIP Customers
C00086,227,2,513.11,3,At Risk
C00088,18,7,2049.69,0,Potential Loyalists
C00089,46,1,99.94,3,At Risk
C00091,51,12,4589.86,2,Loyal Customers
C00092,472,3,459.97,1,Low Value
