product_id,product_name,category,supplier,unit_cost,selling_price,stock_quantity,reorder_level,average_daily_sales,days_of_stock,inventory_status
P0001,Smartphone 1,Electronics,Global Traders,244.8,509.03,98,30,0.23333333333333334,420.0,HEALTHY
P0002,Bedside Table 2,Furniture,TechSupplier,53.11,111.04,26,60,0.6333333333333333,41.05263157894737,REORDER NOW
P0003,Water Bottle 3,Home & Kitchen,Urban Supply,139.55,299.78,207,33,0.5,414.0,HEALTHY
P0004,Storage Cabinet 4,Furniture,TechSupplier,227.39,336.39,131,57,1.3,100.76923076923076,HEALTHY
P0005,Watch Strap 5,Accessories,Prime Distribution,54.75,80.64,141,31,0.03333333333333333,4230.0,HEALTHY
P0006,Novel 6,Books,Prime Distribution,32.3,61.67,196,58,0.9333333333333333,210.0,HEALTHY
P0007,Bookshelf 7,Furniture,Global Traders,451.47,669.5,500,51,1.3333333333333333,375.0,HEALTHY
P0008,Perfume 8,Beauty,Metro Wholesale,39.8,77.57,310,29,2.933333333333333,105.68181818181819,HEALTHY
P0009,Dumbbells 9,Sports,Metro Wholesale,156.68,215.69,188,72,1.9,98.94736842105263,HEALTHY
P0010,Coffee Maker 10,Home & Kitchen,Metro Wholesale,164.12,327.02,363,45,0.36666666666666664,990.0000000000001,HEALTHY
P0011,Cookware Set 11,Home & Kitchen,Urban Supply,201.04,347.72,272,72,1.3333333333333333,204.0,HEALTHY
P0012,Skipping Rope 12,Sports,TechSupplier,162.69,242.74,180,22,1.1666666666666667,154.28571428571428,HEALTHY
P0013,Sunglasses 13,Accessories,Prime Distribution,92.74,133.59,144,46,1.1666666666666667,123.42857142857142,HEALTHY
P0014,Formal Shirt 14,Clothing,TechSupplier,117.2,184.71,443,20,1.7333333333333334,255.57692307692307,HEALTHY
P0015,Bedside Table 15,Furniture,Metro Wholesale,124.86,178.17,197,49,2.566666666666667,76.75324675324674,HEALTHY
P0016,Gym Bag 16,Sports,Urban Supply,184.32,375.32,20,70,0.13333333333333333,150.0,REORDER NOW
P0017,Children's Book 17,Books,Urban Supply,22.77,43.15,228,100,0.1,2280.0,HEALTHY
P0018,Travel Bag 18,Accessories,TechSupplier,127.36,191.09,269,100,1.4,192.14285714285717,HEALTHY
P0019,Water Bottle 19,Home & Kitchen,Prime Distribution,62.48,87.62,43,59,0.3,143.33333333333334,REORDER NOW
P0020,Sneakers 20,Clothing,Direct Imports,39.65,57.53,495,55,0.1,4950.0,HEALTHY
P0021,Novel 21,Books,TechSupplier,22.43,40.9,404,94,0.26666666666666666,1515.0,HEALTHY
P0022,Shampoo 22,Beauty,Direct Imports,18.46,36.9,187,23,2.3333333333333335,80.14285714285714,HEALTHY
P0023,Mechanical Keyboard 23,Electronics,Urban Supply,619.04,1006.36,110,64,0.06666666666666667,1650.0,HEALTHY
P0024,Dining Chair 24,Furniture,Global Traders,74.4,153.77,30,68,1.1,27.27272727272727,REORDER NOW
P0025,Sneakers 25,Clothing,Prime Distribution,21.53,31.99,336,71,0.0,,HEALTHY
P0026,Coffee Table 26,Furniture,TechSupplier,306.28,655.1,84,78,0.1,840.0,HEALTHY
P0027,Wireless Headphones 27,Electronics,Urban Supply,407.89,857.99,163,99,0.36666666666666664,444.54545454545456,HEALTHY
P0028,Bookshelf 28,Furniture,Global Traders,590.84,818.18,229,55,0.03333333333333333,6870.0,HEALTHY
P0029,Gym Bag 29,Sports,Urban Supply,206.58,283.82,374,23,1.1666666666666667,320.57142857142856,HEALTHY
P0030,Bookshelf 30,Furniture,Prime Distribution,516.75,739.74,341,22,1.3666666666666667,249.5121951219512,HEALTHY
P0031,Power Bank 31,Electronics,Global Traders,472.34,871.77,58,69,1.2333333333333334,47.027027027027025,REORDER NOW
P0032,Mixer Grinder 32,Home & Kitchen,Metro Wholesale,68.27,124.54,347,51,0.3333333333333333,1041.0,HEALTHY
P0033,Formal Shirt 33,Clothing,Global Traders,81.64,162.7,308,48,0.8666666666666667,355.38461538461536,HEALTHY
P0034,Novel 34,Books,TechSupplier,15.72,26.62,260,35,0.13333333333333333,1950.0,HEALTHY
P0035,Sneakers 35,Clothing,Global Traders,43.72,69.77,303,33,0.3333333333333333,909.0,HEALTHY
P0036,Coffee Maker 36,Home & Kitchen,Metro Wholesale,312.34,463.12,462,23,0.8666666666666667,533.0769230769231,HEALTHY
P0037,Jacket 37,Clothing,TechSupplier,107.22,171.61,398,88,1.1333333333333333,351.1764705882353,HEALTHY
P0038,Mixer Grinder 38,Home & Kitchen,TechSupplier,128.62,254.21,147,66,0.06666666666666667,2205.0,HEALTHY
P0039,Self Help Book 39,Books,Metro Wholesale,37.99,72.42,302,31,0.1,3020.0,HEALTHY
P0040,Travel Bag 40,Accessories,Metro Wholesale,21.54,31.91,72,93,2.2333333333333334,32.23880597014925,REORDER NOW
P0041,Tablet 41,Electronics,TechSupplier,166.45,296.4,327,30,0.4666666666666667,700.7142857142857,HEALTHY
P0042,Wallet 42,Accessories,Global Traders,8.25,16.79,323,39,2.8333333333333335,114.0,HEALTHY
P0043,Dinner Set 43,Home & Kitchen,Global Traders,48.1,103.14,299,35,4.066666666666666,73.52459016393443,HEALTHY
P0044,Dinner Set 44,Home & Kitchen,Prime Distribution,235.01,335.2,115,30,1.0666666666666667,107.8125,HEALTHY
P0045,Dinner Set 45,Home & Kitchen,Urban Supply,141.9,199.19,231,41,0.4,577.5,HEALTHY
P0046,Watch Strap 46,Accessories,Prime Distribution,33.51,61.2,80,59,1.2333333333333334,64.86486486486486,HEALTHY
P0047,Mechanical Keyboard 47,Electronics,Direct Imports,165.45,260.08,377,23,0.3333333333333333,1131.0,HEALTHY
P0048,Dumbbells 48,Sports,Urban Supply,111.99,176.65,146,77,0.5,292.0,HEALTHY
P0049,Backpack 49,Accessories,Direct Imports,118.32,192.8,397,74,1.2,330.83333333333337,HEALTHY
P0050,Hoodie 50,Clothing,Urban Supply,118.71,162.49,49,88,0.4666666666666667,105.0,REORDER NOW
P0051,Sneakers 51,Clothing,Direct Imports,47.56,85.28,156,69,0.26666666666666666,585.0,HEALTHY
P0052,Jeans 52,Clothing,Metro Wholesale,116.33,183.66,214,44,1.2333333333333334,173.51351351351352,HEALTHY
P0053,Sports Shorts 53,Clothing,Direct Imports,32.06,56.96,12,47,1.5333333333333334,7.826086956521738,REORDER NOW
P0054,Data Science Book 54,Books,Global Traders,24.0,41.68,155,76,0.0,,HEALTHY
P0055,Hoodie 55,Clothing,Global Traders,41.38,56.89,121,37,0.36666666666666664,330.0,HEALTHY
P0056,Running Shoes 56,Sports,Global Traders,183.37,308.49,448,75,0.13333333333333333,3360.0,HEALTHY
P0057,Phone Case 57,Accessories,Metro Wholesale,124.57,173.21,381,47,0.6666666666666666,571.5,HEALTHY
P0058,Bookshelf 58,Furniture,TechSupplier,87.04,165.75,184,52,1.2666666666666666,145.26315789473685,HEALTHY
P0059,Tennis Racket 59,Sports,Metro Wholesale,154.45,223.94,79,86,1.4666666666666666,53.86363636363637,REORDER NOW
P0060,Gym Bag 60,Sports,TechSupplier,21.58,28.96,187,98,0.9666666666666667,193.44827586206895,HEALTHY
P0061,Cricket Bat 61,Sports,Urban Supply,106.05,190.14,248,56,0.0,,HEALTHY
P0062,Storage Cabinet 62,Furniture,Global Traders,150.1,298.82,227,59,0.0,,HEALTHY
P0063,Cricket Bat 63,Sports,Prime Distribution,235.54,319.76,49,20,0.23333333333333334,210.0,HEALTHY
P0064,Phone Case 64,Accessories,Metro Wholesale,80.39,109.27,163,24,0.3333333333333333,489.0,HEALTHY
P0065,Shampoo 65,Beauty,Global Traders,89.18,150.05,396,64,0.03333333333333333,11880.0,HEALTHY
P0066,Jacket 66,Clothing,Prime Distribution,100.66,173.4,333,36,0.6333333333333333,525.7894736842105,HEALTHY
P0067,Cricket Bat 67,Sports,Global Traders,107.56,230.11,349,88,0.0,,HEALTHY
P0068,Tennis Racket 68,Sports,Direct Imports,131.86,283.06,70,93,0.8,87.5,REORDER NOW
P0069,Perfume 69,Beauty,Direct Imports,103.86,148.9,480,20,1.1333333333333333,423.5294117647059,HEALTHY
P0070,Travel Bag 70,Accessories,Metro Wholesale,36.6,66.9,172,53,1.1,156.36363636363635,HEALTHY
P0071,Jeans 71,Clothing,Urban Supply,80.58,128.11,390,61,0.23333333333333334,1671.4285714285713,HEALTHY
P0072,Backpack 72,Accessories,Metro Wholesale,49.57,78.96,476,74,2.0,238.0,HEALTHY
P0073,Formal Shirt 73,Clothing,TechSupplier,39.66,84.98,415,20,3.4,122.05882352941177,HEALTHY
P0074,Programming Book 74,Books,Prime Distribution,3.93,8.18,105,23,0.3,350.0,HEALTHY
P0075,Electric Kettle 75,Home & Kitchen,Prime Distribution,295.58,400.28,237,35,0.8,296.25,HEALTHY
P0076,Gym Bag 76,Sports,Direct Imports,108.31,179.38,94,56,1.8,52.22222222222222,HEALTHY
P0077,Running Shoes 77,Sports,Prime Distribution,44.02,71.54,229,34,0.7333333333333333,312.2727272727273,HEALTHY
P0078,Jacket 78,Clothing,Metro Wholesale,31.03,48.99,12,61,0.3333333333333333,36.0,REORDER NOW
P0079,T-Shirt 79,Clothing,TechSupplier,119.2,234.32,450,91,0.7666666666666667,586.9565217391304,HEALTHY
P0080,T-Shirt 80,Clothing,Urban Supply,88.97,194.67,380,80,0.3333333333333333,1140.0,HEALTHY
