campaign_id,campaign_name,channel,campaign_date,spend,impressions,clicks,conversions,revenue,ctr,conversion_rate,cost_per_conversion,roi
M0001,Winter Sale 1,YouTube,2024-08-20,11190.11,406712,10338,1430,36876.33,0.025418477940164046,0.1383246275875411,7.825251748251748,2.2954394550187622
M0002,Weekend Offer 2,Google Ads,2024-03-14,7925.06,77709,2006,44,43289.5,0.02581425574901234,0.02193419740777667,180.115,4.462356120963122
M0003,Product Launch 3,Email,2024-03-13,11383.52,43398,2820,177,42889.7,0.0649799529932255,0.0627659574468085,64.31367231638419,2.7677010274502085
M0004,Product Launch 4,Google Ads,2024-03-19,6074.3,418629,4636,573,7494.36,0.011074244736986687,0.1235979292493529,10.60087260034904,0.2337816703159211
M0005,Product Launch 5,Email,2025-12-09,8317.73,210191,9766,646,10574.44,0.04646250315189518,0.06614785992217899,12.875743034055727,0.27131320684850324
M0006,Summer Sale 6,Instagram,2025-08-07,9621.88,455499,27099,575,24988.52,0.05949299559384324,0.021218495147422415,16.733704347826084,1.597051719622361
M0007,Summer Sale 7,Google Ads,2025-09-12,8254.54,151336,11832,1085,39291.59,0.07818364434106888,0.09170047329276539,7.6078709677419365,3.759997528632727
M0008,New Customer Campaign 8,YouTube,2025-11-08,6863.95,336265,4107,255,21057.45,0.012213581550265416,0.0620891161431702,26.917450980392157,2.067832661951209
M0009,Loyalty Campaign 9,YouTube,2025-04-13,7838.21,470863,13270,1021,22574.99,0.0281822950624704,0.07694046721929164,7.676993143976493,1.8801205887568722
M0010,Flash Sale 10,Instagram,2025-12-05,2691.14,433764,26130,1648,6866.57,0.060240130577917946,0.0630692690394183,1.6329733009708738,1.5515469280676593
M0011,Summer Sale 11,Organic,2025-03-26,1607.77,433900,32392,3461,7062.17,0.07465314588614888,0.10684736972091874,0.4645391505345276,3.392525050224845
M0012,Weekend Offer 12,YouTube,2024-02-11,10661.21,487408,10304,379,56139.28,0.021140399829301118,0.03678183229813665,28.129841688654352,4.265751260879394
M0013,Weekend Offer 13,Organic,2025-05-23,727.67,322353,23176,3228,2605.97,0.07189633724519394,0.139282015878495,0.22542441140024783,2.5812524908268855
M0014,Loyalty Campaign 14,Organic,2025-02-14,5910.91,55254,2849,258,31906.57,0.05156187787309516,0.09055809055809055,22.910503875968992,4.397911658272585
M0015,Summer Sale 15,Instagram,2025-09-05,5587.92,350180,18088,1595,10805.36,0.051653435376092294,0.08818000884564352,3.503398119122257,0.9336998382224514
M0016,Flash Sale 16,YouTube,2025-02-13,13184.95,348606,8541,842,35980.68,0.024500438890896887,0.09858330406275612,15.659085510688836,1.7289204737219328
M0017,Black Friday 17,Organic,2025-02-10,12782.9,295114,20479,787,67710.75,0.06939352250316827,0.038429610820840863,16.2425667090216,4.296978776334009
M0018,Loyalty Campaign 18,Facebook,2024-01-30,2607.77,57666,2411,267,7683.05,0.04180973190441508,0.11074243052675238,9.76692883895131,1.946214581807445
M0019,Product Launch 19,Facebook,2025-08-17,8542.01,270739,21588,1156,38247.12,0.0797373115805259,0.053548267556049654,7.389282006920415,3.4775316348259953
M0020,Holiday Campaign 20,Email,2025-12-23,10054.53,239698,18290,604,23659.53,0.07630434963996362,0.03302351011481684,16.64657284768212,1.353121428848489
M0021,Summer Sale 21,Google Ads,2025-03-16,11609.07,331547,22302,2521,21510.26,0.0672664810720652,0.11303918931037575,4.604946449821499,0.8528839950142431
M0022,Weekend Offer 22,YouTube,2025-12-28,5291.59,181933,4681,559,26685.18,0.025729251977376286,0.11941892757957702,9.466171735241502,4.042941724510024
M0023,Summer Sale 23,Facebook,2024-12-02,9385.92,422027,8836,1174,28853.63,0.020937049051364013,0.13286555002263467,7.994821124361159,2.074139775323037
M0024,Loyalty Campaign 24,Google Ads,2025-04-04,3032.15,287932,15385,475,11451.22,0.05343275495603129,0.03087422814429639,6.383473684210527,2.776600761835661
M0025,Black Friday 25,Google Ads,2024-12-24,14587.45,357124,18409,2418,71776.45,0.05154792173026736,0.13134879678418165,6.032857733664185,3.9204247486709463
M0026,Holiday Campaign 26,Facebook,2024-06-03,2919.49,123360,7020,627,4079.97,0.05690661478599222,0.08931623931623932,4.656283891547049,0.3974940828706384
M0027,Loyalty Campaign 27,Facebook,2024-04-03,3187.71,260465,5706,574,5985.91,0.021906974065613424,0.10059586400280407,5.553501742160279,0.8778088345552135
M0028,Weekend Offer 28,Email,2024-02-06,4913.56,132100,2320,64,26966.93,0.017562452687358062,0.027586206896551724,76.774375,4.488267162708911
M0029,Black Friday 29,Instagram,2024-12-14,6243.86,446942,20165,498,11794.77,0.04511771102290678,0.02469625588891644,12.537871485943775,0.8890189722383272
M0030,New Customer Campaign 30,Email,2025-03-19,9183.86,466986,17754,1768,23266.31,0.03801827035499994,0.09958319251999549,5.194490950226244,1.5333911884545277
M0031,Festival Campaign 31,Google Ads,2024-07-08,7627.66,325760,24020,2406,32507.55,0.0737352652259332,0.10016652789342215,3.1702660016625104,3.2617985070126356
M0032,Festival Campaign 32,Google Ads,2025-07-04,13916.62,444832,26728,2783,67773.85,0.06008560535213294,0.10412301706076026,5.000582105641395,3.8699935760263626
M0033,Product Launch 33,Google Ads,2025-08-18,10545.99,367591,19172,981,13839.85,0.05215579271527322,0.05116837054037138,10.750244648318043,0.3123329341294654
M0034,Winter Sale 34,Organic,2024-08-22,6601.83,69756,4699,413,10303.46,0.0673633809278055,0.08789104064694615,15.985060532687651,0.5606975641602403
M0035,Loyalty Campaign 35,Google Ads,2025-01-26,6888.14,296685,15526,789,10755.07,0.052331597485548643,0.05081798273863197,8.7302154626109,0.5613895768669045
M0036,Holiday Campaign 36,Google Ads,2024-05-24,8589.48,115131,1859,40,37654.9,0.01614682405260095,0.02151694459386767,214.737,3.3838393010985537
M0037,Product Launch 37,Instagram,2024-04-26,7145.59,452406,5839,570,8981.48,0.012906548542680689,0.09761945538619626,12.536122807017545,0.25692629999762084
M0038,New Customer Campaign 38,YouTube,2025-04-09,5233.38,222970,4902,350,6603.98,0.02198502040633269,0.07139942880456956,14.952514285714287,0.2618957537958259
M0039,Festival Campaign 39,Instagram,2025-03-26,14587.67,470635,9586,1385,49256.71,0.020368225907550438,0.1444815355727102,10.532613718411552,2.37659886739966
M0040,Flash Sale 40,Email,2025-08-12,1480.25,156008,11168,824,2711.48,0.0715860725091021,0.07378223495702006,1.7964199029126213,0.831771660192535
M0041,Holiday Campaign 41,Instagram,2025-12-12,4423.35,461736,14102,1397,23793.57,0.030541261673337147,0.09906396255850235,3.166320687186829,4.379083726135169
M0042,Summer Sale 42,Instagram,2025-06-08,3197.33,128528,3199,467,6859.07,0.024889518237271258,0.14598311972491404,6.846531049250535,1.1452493173992049
M0043,New Customer Campaign 43,Organic,2024-10-10,3835.98,496291,39411,4143,9673.18,0.07941107132710445,0.10512293522113116,0.9258942795076032,1.5216971934160242
M0044,Black Friday 44,YouTube,2024-12-14,4010.54,323260,14051,866,4970.3,0.04346655942584916,0.0616326240125258,4.631108545034642,0.2393094196791455
M0045,Festival Campaign 45,Google Ads,2025-05-18,1512.28,196241,9372,507,7940.49,0.047757604170382335,0.05409731113956466,2.982800788954635,4.25067447827122
M0046,New Customer Campaign 46,Organic,2024-03-23,10581.21,152987,12001,1496,26964.16,0.07844457372195023,0.12465627864344637,7.073001336898395,1.548305912083779
M0047,New Customer Campaign 47,Google Ads,2025-08-09,11296.13,200445,8524,739,39288.65,0.04252538102721445,0.08669638667292351,15.285696887686061,2.478062840990676
M0048,Festival Campaign 48,YouTube,2025-08-14,10422.73,154699,5458,665,20291.79,0.03528141746229775,0.12183950164895566,15.673278195488722,0.946878600903986
M0049,Black Friday 49,Google Ads,2025-08-22,5682.3,476471,27309,3548,27739.21,0.05731513565358647,0.12992053901644146,1.6015501691093574,3.8816869929429982
M0050,Weekend Offer 50,Google Ads,2024-09-20,5376.1,467182,18450,997,20795.74,0.039492103719749476,0.05403794037940379,5.3922768304914745,2.8681832555198006
M0051,Summer Sale 51,Instagram,2025-05-09,5925.64,155310,11636,762,24365.73,0.07492112549095357,0.06548642145067034,7.776430446194226,3.1119153374150303
M0052,Black Friday 52,YouTube,2024-06-14,10164.25,253605,11305,257,25002.65,0.04457719682182922,0.022733303847854932,39.54961089494164,1.4598617704208379
M0053,Summer Sale 53,Facebook,2024-12-21,10747.03,78945,3058,88,54389.12,0.038735828741528915,0.02877697841726619,122.12534090909092,4.060851230526016
M0054,Loyalty Campaign 54,YouTube,2025-11-23,8990.25,144641,2282,59,14482.51,0.01577699269225185,0.025854513584574933,152.3771186440678,0.6109129334556881
M0055,Loyalty Campaign 55,Facebook,2025-04-26,14984.35,331742,9869,1099,28759.94,0.029749021830217458,0.11135880028371668,13.634531392174704,0.919331836215785
M0056,Product Launch 56,Google Ads,2025-09-19,4275.34,461196,4841,635,23362.66,0.010496621826728766,0.13117124561041107,6.732818897637795,4.464515102892402
M0057,Holiday Campaign 57,YouTube,2024-04-14,5978.69,261688,6512,268,13886.15,0.024884595396044144,0.041154791154791155,22.3085447761194,1.3226074608317206
M0058,Winter Sale 58,Organic,2025-07-26,6057.32,244658,14819,1664,20652.03,0.06057026543174554,0.11228827856130644,3.640216346153846,2.4094335448680275
M0059,Weekend Offer 59,Email,2025-03-04,6234.55,259075,11848,1104,23962.39,0.04573193090803821,0.09318028359216746,5.64723731884058,2.8434834911902223
M0060,Winter Sale 60,Google Ads,2025-05-01,9949.7,423091,23344,1105,32534.04,0.05517489145361163,0.04733550376970528,9.00425339366516,2.269851352302079
M0061,New Customer Campaign 61,Facebook,2025-12-31,5367.92,102497,5294,448,11061.27,0.05165029220367425,0.08462410275783906,11.981964285714286,1.0606249720562155
M0062,Loyalty Campaign 62,Facebook,2024-04-21,10359.43,190414,2163,131,47383.91,0.011359458863318874,0.06056403143781785,79.07961832061069,3.5739881441353436
M0063,Summer Sale 63,Instagram,2025-10-04,11618.95,109347,8362,805,37889.46,0.07647214829853585,0.09626883520688831,14.433478260869567,2.261005512546314
M0064,Product Launch 64,Facebook,2025-09-29,10169.05,12571,869,85,44739.68,0.06912735661443004,0.09781357882623705,119.63588235294117,3.3995928823243085
M0065,New Customer Campaign 65,Facebook,2024-01-15,5046.64,471040,15492,451,11901.15,0.03288892663043478,0.02911179963852311,11.18988913525499,1.3582324080972685
M0066,Festival Campaign 66,Instagram,2024-05-14,7620.81,15452,872,79,32724.21,0.056432824229873155,0.09059633027522936,96.46594936708861,3.2940592929098083
M0067,Holiday Campaign 67,Instagram,2025-04-14,7079.4,486236,22323,1803,26808.93,0.04590980511521155,0.08076871388254267,3.926455906821963,2.7868929570302567
M0068,Summer Sale 68,Google Ads,2025-05-03,5417.0,195284,10336,753,20456.46,0.05292804326007251,0.07285216718266253,7.193891102257636,2.7763448403175186
M0069,New Customer Campaign 69,Google Ads,2025-02-10,5469.26,236490,5058,229,9967.55,0.021387796524165927,0.04527481217872677,23.883231441048036,0.8224677561498263
M0070,Black Friday 70,Organic,2024-10-27,2802.62,145013,7738,1038,13988.47,0.053360733175646324,0.13414318945463943,2.7000192678227357,3.9912117946778367
M0071,New Customer Campaign 71,Email,2025-05-31,11068.47,255410,12273,983,19326.67,0.04805215144277828,0.08009451641815367,11.259888097660223,0.7461013130089343
M0072,Black Friday 72,Instagram,2025-01-13,3382.84,140766,10678,658,12624.35,0.07585638577497407,0.061622026596740966,5.141094224924013,2.7318791311442454
M0073,Winter Sale 73,YouTube,2025-11-02,9444.62,407904,10285,1220,15242.34,0.025214266101827882,0.11861934856587263,7.741491803278689,0.6138648246303186
M0074,Festival Campaign 74,YouTube,2025-01-24,4398.92,136735,6701,557,19143.73,0.04900720371521556,0.08312192210117893,7.897522441651706,3.35191592481791
M0075,Holiday Campaign 75,Organic,2025-08-09,14400.06,275906,7528,185,37715.85,0.027284654918704198,0.024574920297555793,77.83816216216216,1.6191453368944297
M0076,Festival Campaign 76,Facebook,2025-12-01,12443.93,129418,7975,691,39090.94,0.06162203093850933,0.08664576802507837,18.008581765557164,2.14136611183123
M0077,Winter Sale 77,Instagram,2024-02-28,6009.26,419677,10451,672,12197.57,0.02490248452976932,0.06430006697923643,8.942351190476192,1.0297956819974505
M0078,Winter Sale 78,Google Ads,2024-11-25,1447.61,376748,27185,1404,2341.04,0.07215698557125717,0.05164612837962111,1.0310612535612536,0.6171758968230394
M0079,Winter Sale 79,Organic,2024-06-01,7763.5,258316,7111,515,41477.7,0.027528298672943218,0.07242300660947827,15.074757281553397,4.342654730469504
M0080,Holiday Campaign 80,Facebook,2024-06-25,3213.54,435804,13766,1194,9733.34,0.03158759442318106,0.08673543513003051,2.6914070351758794,2.0288529160987574
M0081,Holiday Campaign 81,Organic,2025-11-17,1930.98,435825,27081,2197,4466.27,0.06213732576148683,0.08112698940216388,0.878916704597178,1.3129550798040375
M0082,Black Friday 82,Email,2024-12-03,11665.96,171280,6297,386,51773.63,0.03676436244745446,0.061299031284738764,30.222694300518132,3.438008530802437
M0083,Summer Sale 83,Email,2024-09-04,2104.52,487844,35910,937,3791.65,0.07360959651035986,0.02609301030353662,2.246019210245464,0.8016697394180147
M0084,Weekend Offer 84,Google Ads,2024-11-12,3865.42,344391,19727,2156,21180.08,0.05728082325031723,0.10929183352765245,1.7928664192949908,4.479373522152833
M0085,Loyalty Campaign 85,Google Ads,2025-04-20,8431.02,410871,27934,2199,33404.91,0.06798727581162944,0.07872127156869764,3.834024556616644,2.9621433705530293
M0086,Festival Campaign 86,YouTube,2025-09-17,1382.91,64044,4325,452,5398.96,0.06753169695834114,0.10450867052023122,3.059535398230089,2.90405738623627
M0087,Winter Sale 87,YouTube,2024-05-13,3695.15,248382,9520,474,15626.32,0.038328059199136816,0.04978991596638655,7.795675105485232,3.228872982152281
M0088,Festival Campaign 88,Google Ads,2025-03-17,14934.32,377128,8868,320,39589.62,0.02351456269489404,0.03608479927830401,46.66975,1.65091547522753
M0089,Festival Campaign 89,YouTube,2024-08-16,7822.25,220723,13058,1103,42532.94,0.05916012377504836,0.08446929085618012,7.091795104261106,4.437430406852249
M0090,Holiday Campaign 90,Organic,2024-06-20,11238.65,437831,10101,587,52291.93,0.023070545484444913,0.058113058113058114,19.145911413969333,3.652865780142633
M0091,Festival Campaign 91,Email,2025-06-08,13233.8,368512,17387,1366,24570.35,0.04718163858978812,0.07856444470006327,9.687994143484627,0.856636038023848
M0092,New Customer Campaign 92,Instagram,2025-01-12,4071.19,253452,15020,396,15483.77,0.05926171424964096,0.02636484687083888,10.28078282828283,2.8032540854148293
M0093,Summer Sale 93,Facebook,2024-08-27,3785.46,170182,4346,324,11905.67,0.02553736587888261,0.07455131155085136,11.683518518518518,2.145105218388254
M0094,Summer Sale 94,Organic,2024-04-21,9911.37,149364,3058,197,18776.39,0.020473474197263062,0.06442119032047089,50.3115228426396,0.8944293271263204
M0095,Product Launch 95,YouTube,2024-06-23,8189.83,75879,1780,239,11811.23,0.023458400875077424,0.13426966292134832,34.26707112970711,0.4421825605659702
M0096,Flash Sale 96,Organic,2024-04-05,8722.97,344441,20494,2799,19688.22,0.05949930467046606,0.13657655899287596,3.116459449803501,1.2570546499644046
M0097,Flash Sale 97,Email,2025-12-04,10330.38,266638,15912,1508,50207.83,0.05967641521463558,0.09477124183006536,6.850384615384615,3.8602113378210685
M0098,New Customer Campaign 98,YouTube,2024-11-13,7129.3,152062,9127,400,38289.0,0.06002157014901816,0.043826010737372634,17.82325,4.370653500343653
M0099,Winter Sale 99,Organic,2025-07-05,9419.94,397689,24432,1444,28515.36,0.06143494036797598,0.05910281597904388,6.523504155124654,2.0271275613220463
M0100,Product Launch 100,Facebook,2024-12-03,3065.44,289399,22155,3051,5674.63,0.07655520578854799,0.13771157752200405,1.0047328744673878,0.851163291403518
