campaign_id,campaign_name,channel,campaign_date,spend,impressions,clicks,conversions,revenue
M0001,Winter Sale 1,YouTube,2024-08-20,11190.11,406712,10338,1430,36876.33
M0002,Weekend Offer 2,Google Ads,2024-03-14,7925.06,77709,2006,44,43289.5
M0003,Product Launch 3,Email,2024-03-13,11383.52,43398,2820,177,42889.7
M0004,Product Launch 4,Google Ads,2024-03-19,6074.3,418629,4636,573,7494.36
M0005,Product Launch 5,Email,2025-12-09,8317.73,210191,9766,646,10574.44
M0006,Summer Sale 6,Instagram,2025-08-07,9621.88,455499,27099,575,24988.52
M0007,Summer Sale 7,Google Ads,2025-09-12,8254.54,151336,11832,1085,39291.59
M0008,New Customer Campaign 8,YouTube,2025-11-08,6863.95,336265,4107,255,21057.45
M0009,Loyalty Campaign 9,YouTube,2025-04-13,7838.21,470863,13270,1021,22574.99
M0010,Flash Sale 10,Instagram,2025-12-05,2691.14,433764,26130,1648,6866.57
M0011,Summer Sale 11,Organic,2025-03-26,1607.77,433900,32392,3461,7062.17
M0012,Weekend Offer 12,YouTube,2024-02-11,10661.21,487408,10304,379,56139.28
M0013,Weekend Offer 13,Organic,2025-05-23,727.67,322353,23176,3228,2605.97
M0014,Loyalty Campaign 14,Organic,2025-02-14,5910.91,55254,2849,258,31906.57
M0015,Summer Sale 15,Instagram,2025-09-05,5587.92,350180,18088,1595,10805.36
M0016,Flash Sale 16,YouTube,2025-02-13,13184.95,348606,8541,842,35980.68
M0017,Black Friday 17,Organic,2025-02-10,12782.9,295114,20479,787,67710.75
M0018,Loyalty Campaign 18,Facebook,2024-01-30,2607.77,57666,2411,267,7683.05
M0019,Product Launch 19,Facebook,2025-08-17,8542.01,270739,21588,1156,38247.12
M0020,Holiday Campaign 20,Email,2025-12-23,10054.53,239698,18290,604,23659.53
M0021,Summer Sale 21,Google Ads,2025-03-16,11609.07,331547,22302,2521,21510.26
M0022,Weekend Offer 22,YouTube,2025-12-28,5291.59,181933,4681,559,26685.18
M0023,Summer Sale 23,Facebook,2024-12-02,9385.92,422027,8836,1174,28853.63
M0024,Loyalty Campaign 24,Google Ads,2025-04-04,3032.15,287932,15385,475,11451.22
M0025,Black Friday 25,Google Ads,2024-12-24,14587.45,357124,18409,2418,71776.45
M0026,Holiday Campaign 26,Facebook,2024-06-03,2919.49,123360,7020,627,4079.97
M0027,Loyalty Campaign 27,Facebook,2024-04-03,3187.71,260465,5706,574,5985.91
M0028,Weekend Offer 28,Email,2024-02-06,4913.56,132100,2320,64,26966.93
M0029,Black Friday 29,Instagram,2024-12-14,6243.86,446942,20165,498,11794.77
M0030,New Customer Campaign 30,Email,2025-03-19,9183.86,466986,17754,1768,23266.31
M0031,Festival Campaign 31,Google Ads,2024-07-08,7627.66,325760,24020,2406,32507.55
M0032,Festival Campaign 32,Google Ads,2025-07-04,13916.62,444832,26728,2783,67773.85
M0033,Product Launch 33,Google Ads,2025-08-18,10545.99,367591,19172,981,13839.85
M0034,Winter Sale 34,Organic,2024-08-22,6601.83,69756,4699,413,10303.46
M0035,Loyalty Campaign 35,Google Ads,2025-01-26,6888.14,296685,15526,789,10755.07
M0036,Holiday Campaign 36,Google Ads,2024-05-24,8589.48,115131,1859,40,37654.9
M0037,Product Launch 37,Instagram,2024-04-26,7145.59,452406,5839,570,8981.48
M0038,New Customer Campaign 38,YouTube,2025-04-09,5233.38,222970,4902,350,6603.98
M0039,Festival Campaign 39,Instagram,2025-03-26,14587.67,470635,9586,1385,49256.71
M0040,Flash Sale 40,Email,2025-08-12,1480.25,156008,11168,824,2711.48
M0041,Holiday Campaign 41,Instagram,2025-12-12,4423.35,461736,14102,1397,23793.57
M0042,Summer Sale 42,Instagram,2025-06-08,3197.33,128528,3199,467,6859.07
M0043,New Customer Campaign 43,Organic,2024-10-10,3835.98,496291,39411,4143,9673.18
M0044,Black Friday 44,YouTube,2024-12-14,4010.54,323260,14051,866,4970.3
M0045,Festival Campaign 45,Google Ads,2025-05-18,1512.28,196241,9372,507,7940.49
M0046,New Customer Campaign 46,Organic,2024-03-23,10581.21,152987,12001,1496,26964.16
M0047,New Customer Campaign 47,Google Ads,2025-08-09,11296.13,200445,8524,739,39288.65
M0048,Festival Campaign 48,YouTube,2025-08-14,10422.73,154699,5458,665,20291.79
M0049,Black Friday 49,Google Ads,2025-08-22,5682.3,476471,27309,3548,27739.21
M0050,Weekend Offer 50,Google Ads,2024-09-20,5376.1,467182,18450,997,20795.74
M0051,Summer Sale 51,Instagram,2025-05-09,5925.64,155310,11636,762,24365.73
M0052,Black Friday 52,YouTube,2024-06-14,10164.25,253605,11305,257,25002.65
M0053,Summer Sale 53,Facebook,2024-12-21,10747.03,78945,3058,88,54389.12
M0054,Loyalty Campaign 54,YouTube,2025-11-23,8990.25,144641,2282,59,14482.51
M0055,Loyalty Campaign 55,Facebook,2025-04-26,14984.35,331742,9869,1099,28759.94
M0056,Product Launch 56,Google Ads,2025-09-19,4275.34,461196,4841,635,23362.66
M0057,Holiday Campaign 57,YouTube,2024-04-14,5978.69,261688,6512,268,13886.15
M0058,Winter Sale 58,Organic,2025-07-26,6057.32,244658,14819,1664,20652.03
M0059,Weekend Offer 59,Email,2025-03-04,6234.55,259075,11848,1104,23962.39
M0060,Winter Sale 60,Google Ads,2025-05-01,9949.7,423091,23344,1105,32534.04
M0061,New Customer Campaign 61,Facebook,2025-12-31,5367.92,102497,5294,448,11061.27
M0062,Loyalty Campaign 62,Facebook,2024-04-21,10359.43,190414,2163,131,47383.91
M0063,Summer Sale 63,Instagram,2025-10-04,11618.95,109347,8362,805,37889.46
M0064,Product Launch 64,Facebook,2025-09-29,10169.05,12571,869,85,44739.68
M0065,New Customer Campaign 65,Facebook,2024-01-15,5046.64,471040,15492,451,11901.15
M0066,Festival Campaign 66,Instagram,2024-05-14,7620.81,15452,872,79,32724.21
M0067,Holiday Campaign 67,Instagram,2025-04-14,7079.4,486236,22323,1803,26808.93
M0068,Summer Sale 68,Google Ads,2025-05-03,5417.0,195284,10336,753,20456.46
M0069,New Customer Campaign 69,Google Ads,2025-02-10,5469.26,236490,5058,229,9967.55
M0070,Black Friday 70,Organic,2024-10-27,2802.62,145013,7738,1038,13988.47
M0071,New Customer Campaign 71,Email,2025-05-31,11068.47,255410,12273,983,19326.67
M0072,Black Friday 72,Instagram,2025-01-13,3382.84,140766,10678,658,12624.35
M0073,Winter Sale 73,YouTube,2025-11-02,9444.62,407904,10285,1220,15242.34
M0074,Festival Campaign 74,YouTube,2025-01-24,4398.92,136735,6701,557,19143.73
M0075,Holiday Campaign 75,Organic,2025-08-09,14400.06,275906,7528,185,37715.85
M0076,Festival Campaign 76,Facebook,2025-12-01,12443.93,129418,7975,691,39090.94
M0077,Winter Sale 77,Instagram,2024-02-28,6009.26,419677,10451,672,12197.57
M0078,Winter Sale 78,Google Ads,2024-11-25,1447.61,376748,27185,1404,2341.04
M0079,Winter Sale 79,Organic,2024-06-01,7763.5,258316,7111,515,41477.7
M0080,Holiday Campaign 80,Facebook,2024-06-25,3213.54,435804,13766,1194,9733.34
M0081,Holiday Campaign 81,Organic,2025-11-17,1930.98,435825,27081,2197,4466.27
M0082,Black Friday 82,Email,2024-12-03,11665.96,171280,6297,386,51773.63
M0083,Summer Sale 83,Email,2024-09-04,2104.52,487844,35910,937,3791.65
M0084,Weekend Offer 84,Google Ads,2024-11-12,3865.42,344391,19727,2156,21180.08
M0085,Loyalty Campaign 85,Google Ads,2025-04-20,8431.02,410871,27934,2199,33404.91
M0086,Festival Campaign 86,YouTube,2025-09-17,1382.91,64044,4325,452,5398.96
M0087,Winter Sale 87,YouTube,2024-05-13,3695.15,248382,9520,474,15626.32
M0088,Festival Campaign 88,Google Ads,2025-03-17,14934.32,377128,8868,320,39589.62
M0089,Festival Campaign 89,YouTube,2024-08-16,7822.25,220723,13058,1103,42532.94
M0090,Holiday Campaign 90,Organic,2024-06-20,11238.65,437831,10101,587,52291.93
M0091,Festival Campaign 91,Email,2025-06-08,13233.8,368512,17387,1366,24570.35
M0092,New Customer Campaign 92,Instagram,2025-01-12,4071.19,253452,15020,396,15483.77
M0093,Summer Sale 93,Facebook,2024-08-27,3785.46,170182,4346,324,11905.67
M0094,Summer Sale 94,Organic,2024-04-21,9911.37,149364,3058,197,18776.39
M0095,Product Launch 95,YouTube,2024-06-23,8189.83,75879,1780,239,11811.23
M0096,Flash Sale 96,Organic,2024-04-05,8722.97,344441,20494,2799,19688.22
M0097,Flash Sale 97,Email,2025-12-04,10330.38,266638,15912,1508,50207.83
M0098,New Customer Campaign 98,YouTube,2024-11-13,7129.3,152062,9127,400,38289.0
M0099,Winter Sale 99,Organic,2025-07-05,9419.94,397689,24432,1444,28515.36
M0100,Product Launch 100,Facebook,2024-12-03,3065.44,289399,22155,3051,5674.63
