product_id,product_name,category,supplier,unit_cost,selling_price,stock_quantity,reorder_level
P0001,Smartphone 1,Electronics,Global Traders,244.8,509.03,98,30
P0002,Bedside Table 2,Furniture,TechSupplier,53.11,111.04,26,60
P0003,Water Bottle 3,Home & Kitchen,Urban Supply,139.55,299.78,207,33
P0004,Storage Cabinet 4,Furniture,TechSupplier,227.39,336.39,131,57
P0005,Watch Strap 5,Accessories,Prime Distribution,54.75,80.64,141,31
P0006,Novel 6,Books,Prime Distribution,32.3,61.67,196,58
P0007,Bookshelf 7,Furniture,Global Traders,451.47,669.5,500,51
P0008,Perfume 8,Beauty,Metro Wholesale,39.8,77.57,310,29
P0009,Dumbbells 9,Sports,Metro Wholesale,156.68,215.69,188,72
P0010,Coffee Maker 10,Home & Kitchen,Metro Wholesale,164.12,327.02,363,45
P0011,Cookware Set 11,Home & Kitchen,Urban Supply,201.04,347.72,272,72
P0012,Skipping Rope 12,Sports,TechSupplier,162.69,242.74,180,22
P0013,Sunglasses 13,Accessories,Prime Distribution,92.74,133.59,144,46
P0014,Formal Shirt 14,Clothing,TechSupplier,117.2,184.71,443,20
P0015,Bedside Table 15,Furniture,Metro Wholesale,124.86,178.17,197,49
P0016,Gym Bag 16,Sports,Urban Supply,184.32,375.32,20,70
P0017,Children's Book 17,Books,Urban Supply,22.77,43.15,228,100
P0018,Travel Bag 18,Accessories,TechSupplier,127.36,191.09,269,100
P0019,Water Bottle 19,Home & Kitchen,Prime Distribution,62.48,87.62,43,59
P0020,Sneakers 20,Clothing,Direct Imports,39.65,57.53,495,55
P0021,Novel 21,Books,TechSupplier,22.43,40.9,404,94
P0022,Shampoo 22,Beauty,Direct Imports,18.46,36.9,187,23
P0023,Mechanical Keyboard 23,Electronics,Urban Supply,619.04,1006.36,110,64
P0024,Dining Chair 24,Furniture,Global Traders,74.4,153.77,30,68
P0025,Sneakers 25,Clothing,Prime Distribution,21.53,31.99,336,71
P0026,Coffee Table 26,Furniture,TechSupplier,306.28,655.1,84,78
P0027,Wireless Headphones 27,Electronics,Urban Supply,407.89,857.99,163,99
P0028,Bookshelf 28,Furniture,Global Traders,590.84,818.18,229,55
P0029,Gym Bag 29,Sports,Urban Supply,206.58,283.82,374,23
P0030,Bookshelf 30,Furniture,Prime Distribution,516.75,739.74,341,22
P0031,Power Bank 31,Electronics,Global Traders,472.34,871.77,58,69
P0032,Mixer Grinder 32,Home & Kitchen,Metro Wholesale,68.27,124.54,347,51
P0033,Formal Shirt 33,Clothing,Global Traders,81.64,162.7,308,48
P0034,Novel 34,Books,TechSupplier,15.72,26.62,260,35
P0035,Sneakers 35,Clothing,Global Traders,43.72,69.77,303,33
P0036,Coffee Maker 36,Home & Kitchen,Metro Wholesale,312.34,463.12,462,23
P0037,Jacket 37,Clothing,TechSupplier,107.22,171.61,398,88
P0038,Mixer Grinder 38,Home & Kitchen,TechSupplier,128.62,254.21,147,66
P0039,Self Help Book 39,Books,Metro Wholesale,37.99,72.42,302,31
P0040,Travel Bag 40,Accessories,Metro Wholesale,21.54,31.91,72,93
P0041,Tablet 41,Electronics,TechSupplier,166.45,296.4,327,30
P0042,Wallet 42,Accessories,Global Traders,8.25,16.79,323,39
P0043,Dinner Set 43,Home & Kitchen,Global Traders,48.1,103.14,299,35
P0044,Dinner Set 44,Home & Kitchen,Prime Distribution,235.01,335.2,115,30
P0045,Dinner Set 45,Home & Kitchen,Urban Supply,141.9,199.19,231,41
P0046,Watch Strap 46,Accessories,Prime Distribution,33.51,61.2,80,59
P0047,Mechanical Keyboard 47,Electronics,Direct Imports,165.45,260.08,377,23
P0048,Dumbbells 48,Sports,Urban Supply,111.99,176.65,146,77
P0049,Backpack 49,Accessories,Direct Imports,118.32,192.8,397,74
P0050,Hoodie 50,Clothing,Urban Supply,118.71,162.49,49,88
P0051,Sneakers 51,Clothing,Direct Imports,47.56,85.28,156,69
P0052,Jeans 52,Clothing,Metro Wholesale,116.33,183.66,214,44
P0053,Sports Shorts 53,Clothing,Direct Imports,32.06,56.96,12,47
P0054,Data Science Book 54,Books,Global Traders,24.0,41.68,155,76
P0055,Hoodie 55,Clothing,Global Traders,41.38,56.89,121,37
P0056,Running Shoes 56,Sports,Global Traders,183.37,308.49,448,75
P0057,Phone Case 57,Accessories,Metro Wholesale,124.57,173.21,381,47
P0058,Bookshelf 58,Furniture,TechSupplier,87.04,165.75,184,52
P0059,Tennis Racket 59,Sports,Metro Wholesale,154.45,223.94,79,86
P0060,Gym Bag 60,Sports,TechSupplier,21.58,28.96,187,98
P0061,Cricket Bat 61,Sports,Urban Supply,106.05,190.14,248,56
P0062,Storage Cabinet 62,Furniture,Global Traders,150.1,298.82,227,59
P0063,Cricket Bat 63,Sports,Prime Distribution,235.54,319.76,49,20
P0064,Phone Case 64,Accessories,Metro Wholesale,80.39,109.27,163,24
P0065,Shampoo 65,Beauty,Global Traders,89.18,150.05,396,64
P0066,Jacket 66,Clothing,Prime Distribution,100.66,173.4,333,36
P0067,Cricket Bat 67,Sports,Global Traders,107.56,230.11,349,88
P0068,Tennis Racket 68,Sports,Direct Imports,131.86,283.06,70,93
